InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
530331,22961,JUMBO BAG RED RETROSPOT,37,2025-08-28 17:08:00,2.08,17013.0,United Kingdom
530359,22457,CREAM CUPID HEARTS COAT HANGER,51,2025-10-13 11:48:00,2.75,13181.0,United Kingdom
530400,21212,PACK OF 72 RETROSPOT CAKE CASES,11,2025-12-18 16:59:00,0.55,17763.0,United Kingdom
530024,22720,POPCORN HOLDER,33,2025-09-17 03:55:00,0.85,17122.0,United Kingdom
530173,22961B,RABBIT NIGHT LIGHT,25,2025-07-30 01:20:00,2.08,18100.0,United Kingdom
530078,22383,WHITE HANGING HEART T-LIGHT HOLDER,40,2025-12-06 03:46:00,2.95,14460.0,United Kingdom
530047,22197,POPCORN HOLDER,38,2025-09-15 16:10:00,0.85,12465.0,Eire
530184,71053,WHITE METAL LANTERN,16,2025-07-30 18:43:00,3.39,18492.0,United Kingdom
530151,21212,PACK OF 72 RETROSPOT CAKE CASES,45,2025-05-20 16:34:00,0.55,16045.0,Germany
530515,22423,REGENCY CAKESTAND 3 TIER,36,2025-09-08 09:08:00,12.75,13532.0,United Kingdom
530503,85099B,PARTY BUNTING,34,2025-10-10 05:21:00,4.65,16586.0,Portugal
530339,21212,PACK OF 72 RETROSPOT CAKE CASES,40,2025-02-17 16:41:00,0.55,13381.0,United Kingdom
530299,22698,CREAM CUPID HEARTS COAT HANGER,35,2025-11-20 16:36:00,2.75,13981.0,Spain
530511,21212,PACK OF 72 RETROSPOT CAKE CASES,59,2025-10-30 02:43:00,0.55,13097.0,Australia
530276,POST,POSTAGE,42,2025-03-07 21:44:00,18.0,18052.0,Australia
530262,22698,CREAM CUPID HEARTS COAT HANGER,21,2025-03-19 14:04:00,2.75,15841.0,Germany
530065,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2025-07-03 06:43:00,0.55,14044.0,Australia
530492,22961,JUMBO BAG RED RETROSPOT,39,2025-02-25 07:42:00,2.08,17445.0,Australia
